,PTS,REB,AST,BLK,STL,G,FG%,3P%,FT%,TS%,USG%,PER,WS,BPM,VORP
51,196.1,62.9,92.5,3.7,14.8,37,0.46,0.333,0.848,0.5579999999999999,18.2,13.5,1.1,-1.6,0.0
57,468.7,438.6,86.0,17.2,30.1,43,0.529,0.0,0.642,0.551,17.3,18.4,2.6,0.3,0.7
15,671.0,444.0,91.0,32.0,67.0,79,0.593,0.333,0.7190000000000001,0.6559999999999999,15.5,18.8,6.6,2.7,2.0
9,1141.0,270.0,119.0,8.0,55.0,80,0.474,0.402,0.868,0.605,19.0,13.9,5.4,-0.7,0.8
29,1360.8,267.3,194.4,16.2,56.7,81,0.448,0.324,0.8440000000000001,0.539,26.4,16.8,1.8,-2.0,0.0
36,2191.0,389.0,630.0,50.0,126.0,72,0.449,0.3670000000000001,0.858,0.619,36.1,29.8,15.4,10.9,8.3
15,704.0,166.4,307.2,19.2,57.6,64,0.41,0.378,0.843,0.539,17.6,13.7,4.3,0.0,0.9
82,134.0,45.0,32.0,5.0,19.0,11,0.403,0.4,0.8240000000000001,0.53,19.6,12.3,0.4,0.6,0.2
20,1008.0,351.0,410.0,11.0,121.0,77,0.418,0.35200000000000004,0.866,0.537,22.9,15.4,5.3,1.7,2.1
39,1000.0,780.0,105.0,37.0,36.0,71,0.5920000000000001,0.0,0.848,0.63,21.8,24.0,7.6,2.5,2.1
75,312.0,82.0,89.0,1.0,12.0,33,0.484,0.442,0.88,0.593,17.5,12.8,1.6,-2.2,0.0
13,79.2,99.0,66.0,8.8,17.6,22,0.34600000000000003,0.28600000000000003,0.9,0.463,9.4,9.2,0.6,-1.9,0.0
16,1734.0,447.0,263.0,39.0,161.0,79,0.43,0.401,0.8220000000000001,0.57,25.7,18.7,8.9,2.6,3.3
20,885.6,813.6,57.6,136.79999999999998,43.2,72,0.5710000000000001,0.125,0.449,0.564,21.4,23.5,6.3,0.8,1.2
4,649.0,263.0,260.0,18.0,80.0,82,0.424,0.353,0.745,0.503,14.8,11.0,3.1,-1.2,0.5
47,420.9,256.2,122.0,24.4,30.5,61,0.466,0.33,0.725,0.573,12.9,13.6,3.9,1.6,1.2
61,422.0,139.0,51.0,15.0,38.0,56,0.421,0.34600000000000003,0.828,0.526,19.0,9.7,0.5,-3.6,-0.4
42,773.0,535.0,508.0,91.0,95.0,70,0.454,0.301,0.775,0.556,17.2,16.1,6.1,3.2,3.0
67,300.0,418.0,53.0,27.0,16.0,46,0.647,0.0,0.624,0.6579999999999999,10.6,14.2,2.7,-0.3,0.5
38,927.0,530.0,339.0,78.0,43.0,72,0.489,0.429,0.7829999999999999,0.575,18.4,17.6,7.8,4.0,3.5
58,621.3000000000002,171.0,165.29999999999995,28.5,51.3,57,0.413,0.34600000000000003,0.748,0.532,17.9,12.4,2.3,-1.0,0.4
12,630.7,127.2,100.7,10.6,42.40000000000001,53,0.481,0.4320000000000001,0.763,0.5670000000000001,16.9,11.5,1.7,-2.2,-0.1
83,146.0,42.0,21.0,9.0,18.0,9,0.468,0.314,0.816,0.5720000000000001,30.6,26.0,0.9,5.9,0.4
0,318.0,193.0,57.0,23.0,48.0,82,0.398,0.386,0.87,0.555,10.8,10.0,2.6,-1.3,0.2
7,608.0,266.0,98.8,30.4,38.0,76,0.45,0.429,0.883,0.632,13.4,13.0,4.0,1.2,1.3
12,773.0,275.0,99.0,21.0,64.0,80,0.404,0.32299999999999995,0.818,0.525,17.3,10.4,2.6,-1.7,0.1
14,231.0,71.39999999999998,31.5,4.2,16.8,21,0.506,0.493,0.778,0.625,13.9,12.2,1.1,-0.9,0.2
26,1215.5,344.5,260.0,39.0,123.5,65,0.462,0.34700000000000003,0.855,0.5710000000000001,21.7,20.2,7.9,3.2,2.9
2,285.6,239.7,56.1,35.7,10.2,51,0.471,0.344,0.855,0.5670000000000001,14.5,14.0,2.4,0.2,0.5
65,307.0,352.0,33.0,17.0,16.0,53,0.562,0.0,0.544,0.569,12.6,13.6,2.5,-2.5,-0.1
30,1562.1999999999996,635.0999999999998,226.3,43.8,51.1,73,0.524,0.344,0.731,0.6,27.2,21.0,6.1,1.4,1.9
