,NAME,SEASON,PTS,REB,AST,BLK,STL,G,FG%,3P%,FT%,TS%,USG%,PER,WS,BPM,VORP,SALARY
0,Patrick Patterson,2017-2018,318.0,193.0,57.0,23.0,48.0,82,0.39799999999999996,0.386,0.87,0.555,10.8,10.0,2.6,-1.3,0.2,4325064.333333333
1,E'Twaun Moore,2017-2018,1022.0,238.0,187.0,12.0,79.0,82,0.508,0.425,0.706,0.593,16.1,12.1,4.4,-0.2,1.2,8680000.0
2,Bismack Biyombo,2017-2018,468.0,468.0,66.0,95.0,21.0,82,0.52,0.0,0.65,0.556,14.9,14.1,2.9,-1.6,0.2,17000000.0
3,Khris Middleton,2017-2018,1652.0,429.0,328.0,21.0,119.0,82,0.466,0.359,0.884,0.5770000000000001,24.6,17.4,6.9,0.4,1.8,17520689.6
4,Cory Joseph,2017-2018,649.0,263.0,260.0,18.0,80.0,82,0.424,0.353,0.745,0.503,14.8,11.0,3.1,-1.2,0.5,7472500.0
5,Jordan Clarkson,2017-2018,1124.0,217.0,221.0,6.0,58.0,81,0.451,0.35200000000000004,0.8,0.542,26.5,16.4,3.0,-1.9,0.1,12500000.0
6,Thaddeus Young,2017-2018,955.0,512.0,152.0,36.0,135.0,81,0.48700000000000004,0.32,0.598,0.528,17.3,14.8,5.5,1.5,2.3,12500000.0
7,Dwight Howard,2017-2018,1347.0,1012.0,105.0,131.0,48.0,81,0.555,0.14300000000000002,0.574,0.5770000000000001,24.2,20.5,6.8,-0.3,1.1,23752241.66666667
8,Jeremy Lamb,2017-2018,1033.0,324.0,186.0,32.0,61.0,80,0.457,0.37,0.861,0.5589999999999999,22.4,17.0,4.9,0.9,1.5,7000000.0
9,Bojan Bogdanovic,2017-2018,1141.0,270.0,119.0,8.0,55.0,80,0.474,0.402,0.868,0.605,19.0,13.9,5.4,-0.7,0.8,10500000.0
10,Tobias Harris,2017-2018,1486.0,437.0,192.0,35.0,71.0,80,0.46,0.41100000000000003,0.8290000000000001,0.565,23.3,17.1,6.7,0.7,1.8,16000000.0
11,Kemba Walker,2017-2018,1770.0,248.0,444.0,24.0,91.0,80,0.431,0.384,0.8640000000000001,0.5720000000000001,27.4,20.6,8.5,3.2,3.6,12000000.0
