NAME,SEASON,SALARY
Al Horford,2017-2018,27800803.75
Al Horford,2018-2019,27800803.75
Al-Farouq Aminu,2017-2018,7500000.0
Alec Burks,2017-2018,10375000.0
Anthony Davis,2017-2018,24604884.5
Anthony Davis,2018-2019,24604884.5
Anthony Davis,2019-2020,24604884.5
Aron Baynes,2018-2019,5323440.0
Austin Rivers,2017-2018,11993441.333333336
Austin Rivers,2019-2020,2174310.0
Avery Bradley,2018-2019,8383500.0
Avery Bradley,2019-2020,4767000.0
Ben McLemore,2017-2018,5330000.0
Bismack Biyombo,2017-2018,17000000.0
Bismack Biyombo,2018-2019,17000000.0
Boban Marjanovic,2017-2018,7000000.0
Bojan Bogdanovic,2017-2018,10500000.0
Bryn Forbes,2018-2019,3000000.0
Carmelo Anthony,2017-2018,19706085.6
Cory Joseph,2017-2018,7472500.0
Danilo Gallinari,2017-2018,21587579.0
Danilo Gallinari,2018-2019,21587579.0
Danny Green,2017-2018,10000000.0
Davis Bertans,2018-2019,7000000.0
DeAndre Jordan,2017-2018,21598556.25
Derrick Favors,2018-2019,17275000.0
Draymond Green,2017-2018,16400000.0
Draymond Green,2018-2019,16400000.0
Dwight Howard,2017-2018,23752241.66666667
Dwight Howard,2018-2019,13410739.0
Dwight Powell,2017-2018,9317187.5
Dwight Powell,2018-2019,9317187.5
E'Twaun Moore,2017-2018,8680000.0
E'Twaun Moore,2018-2019,8680000.0
Edmond Sumner,2018-2019,1224897.0
Elfrid Payton,2019-2020,8000000.0
Enes Kanter,2017-2018,17675529.25
Eric Bledsoe,2017-2018,14000000.0
Eric Gordon,2017-2018,13221697.5
Eric Gordon,2018-2019,13221697.5
Fred VanVleet,2018-2019,9000000.0
Garrett Temple,2017-2018,8000000.0
George Hill,2017-2018,16377969.0
George Hill,2018-2019,16377969.0
Goran Dragic,2017-2018,17000450.0
Goran Dragic,2018-2019,17000450.0
Gordon Hayward,2017-2018,31214295.0
Gordon Hayward,2018-2019,31214295.0
Gordon Hayward,2019-2020,31214295.0
Harrison Barnes,2017-2018,23370934.75
Harrison Barnes,2018-2019,23370934.75
Hassan Whiteside,2017-2018,24354884.0
Hassan Whiteside,2018-2019,24354884.0
JaMychal Green,2017-2018,8300000.0
JaMychal Green,2019-2020,4767000.0
Jae Crowder,2017-2018,7000000.0
Jae Crowder,2018-2019,7000000.0
Jahlil Okafor,2018-2019,1634746.5
James Harden,2017-2018,30902124.75
James Harden,2018-2019,30902124.75
Jared Dudley,2017-2018,10000000.0
Jeff Teague,2017-2018,19000000.0
Jeff Teague,2018-2019,19000000.0
Jerami Grant,2018-2019,8839743.0
Jerami Grant,2019-2020,8839743.0
Jeremy Lamb,2017-2018,7000000.0
Jimmy Butler,2017-2018,21048050.8
Jimmy Butler,2018-2019,21048050.8
Joe Harris,2018-2019,8000000.0
John Wall,2017-2018,16284036.4
Jonas Valanciunas,2017-2018,15595506.0
Jonas Valanciunas,2018-2019,15595506.0
Jordan Clarkson,2017-2018,12500000.0
Jordan Clarkson,2018-2019,12500000.0
Julius Randle,2018-2019,13320500.0
Justin Holiday,2017-2018,4500000.0
Kawhi Leonard,2017-2018,21754050.8
