NAME,SEASON,FG%,3P%,FT%,REB,AST,STL,BLK,PTS,G,PER,TS%,USG%,WS,BPM,VORP
Tyus Jones,2017-2018,0.457,0.349,0.877,132,232,95,6,416,82,14.1,0.5720000000000001,12.7,3.6,0.5,0.9
Lance Stephenson,2017-2018,0.42700000000000005,0.289,0.6609999999999999,424,235,46,17,757,82,12.4,0.495,21.6,1.8,-2.1,0.0
Julius Randle,2017-2018,0.5579999999999999,0.222,0.718,654,210,43,45,1323,82,19.9,0.606,25.3,6.6,0.9,1.6
Jakob Poeltl,2017-2018,0.659,0.5,0.594,393,57,39,100,567,82,17.5,0.662,14.8,5.6,3.3,2.0
Patrick Patterson,2017-2018,0.39799999999999996,0.386,0.87,193,57,48,23,318,82,10.0,0.555,10.8,2.6,-1.3,0.2
Bradley Beal,2017-2018,0.46,0.375,0.7909999999999999,363,373,96,36,1857,82,18.4,0.564,27.6,6.9,1.7,2.7
Dragan Bender,2017-2018,0.386,0.366,0.765,361,130,22,53,531,82,7.1,0.524,12.7,0.1,-2.7,-0.4
E'Twaun Moore,2017-2018,0.508,0.425,0.706,238,187,79,12,1022,82,12.1,0.593,16.1,4.4,-0.2,1.2
Bismack Biyombo,2017-2018,0.52,0.0,0.65,468,66,21,95,468,82,14.1,0.556,14.9,2.9,-1.6,0.2
Darius Miller,2017-2018,0.444,0.41100000000000003,0.866,164,111,28,17,637,82,9.3,0.617,12.8,3.0,-1.0,0.5
Khris Middleton,2017-2018,0.466,0.359,0.884,429,328,119,21,1652,82,17.4,0.5770000000000001,24.6,6.9,0.4,1.8
Cory Joseph,2017-2018,0.424,0.353,0.745,263,260,80,18,649,82,11.0,0.503,14.8,3.1,-1.2,0.5
LeBron James,2017-2018,0.542,0.36700000000000005,0.731,709,747,116,71,2251,82,28.6,0.621,31.6,14.0,9.6,8.9
Joe Ingles,2017-2018,0.467,0.44,0.795,344,392,90,20,940,82,14.4,0.623,15.9,7.6,3.1,3.3
Dillon Brooks,2017-2018,0.44,0.35600000000000004,0.747,257,135,73,17,898,82,9.8,0.531,18.5,1.2,-3.1,-0.7
Marcin Gortat,2017-2018,0.518,,0.675,623,151,40,61,690,82,14.7,0.546,15.5,4.9,0.3,1.2
