NAME,SEASON,PTS,REB,AST,USG%,TS%,BLK,STL,FT%,3P%,FG%,G,PER,WS,BPM,VORP
Aaron Gordon,2018-2019,1248.0,577.2,288.6,21.2,0.5379999999999999,54.599999999999994,54.599999999999994,0.731,0.349,0.449,78,15.1,5.1,1.0,2.0
Aaron Holiday,2018-2019,295.0,65.0,85.0,20.4,0.518,15.0,20.0,0.82,0.33899999999999997,0.401,50,11.9,0.9,-2.6,-0.1
Abdel Nader,2018-2019,244.0,115.89999999999999,18.3,14.7,0.522,12.200000000000001,18.3,0.75,0.32,0.423,61,8.8,0.9,-5.1,-0.5
Al Horford,2018-2019,924.8,455.6,285.6,18.7,0.605,88.4,61.2,0.821,0.36,0.535,68,20.2,7.5,4.8,3.4
Al-Farouq Aminu,2018-2019,761.4,607.5,105.3,13.3,0.568,32.4,64.8,0.867,0.34299999999999997,0.433,81,13.2,5.8,0.9,1.7
Alan Williams,2018-2019,18.0,19.0,3.0,22.2,0.61,0.0,1.0,0.5,0.0,0.615,5,32.9,0.2,5.8,0.1
Alec Burks,2018-2019,563.2,236.8,128.0,18.4,0.523,19.2,38.4,0.823,0.363,0.405,64,12.7,1.5,-2.2,-0.1
Alex Abrines,2018-2019,164.29999999999998,46.5,18.599999999999998,11.9,0.507,6.2,15.5,0.9229999999999999,0.32299999999999995,0.35700000000000004,31,6.3,0.6,-3.4,-0.2
Alex Caruso,2018-2019,229.99999999999997,67.5,77.5,18.4,0.569,10.0,25.0,0.797,0.48,0.445,25,13.9,1.0,-0.9,0.2
Alex Len,2018-2019,854.6999999999999,423.5,84.7,21.2,0.575,69.3,30.8,0.648,0.363,0.494,77,17.2,3.2,-0.9,0.4
Alex Poythress,2018-2019,107.1,75.60000000000001,16.8,13.8,0.5710000000000001,10.5,4.2,0.621,0.391,0.494,21,12.2,0.5,-2.2,0.0
Alfonzo McKinnie,2018-2019,338.40000000000003,244.79999999999998,28.8,12.9,0.569,14.4,21.599999999999998,0.563,0.35600000000000004,0.48700000000000004,72,11.2,2.1,-2.5,-0.1
Alize Johnson,2018-2019,12.6,19.599999999999998,1.4000000000000001,11.6,0.33299999999999996,2.8000000000000003,1.4000000000000001,0.5,0.5,0.25,14,6.3,0.0,-8.1,-0.1
Allen Crabbe,2018-2019,412.8,146.2,47.300000000000004,15.8,0.519,12.9,21.5,0.732,0.37799999999999995,0.36700000000000005,43,7.7,0.8,-2.5,-0.1
Allonzo Trier,2018-2019,697.6,198.4,121.6,20.6,0.564,12.8,25.6,0.8029999999999999,0.39399999999999996,0.44799999999999995,64,12.2,0.9,-4.2,-0.8
Amile Jefferson,2018-2019,27.599999999999998,21.6,3.5999999999999996,12.4,0.6920000000000001,3.5999999999999996,3.5999999999999996,0.875,,0.625,12,21.1,0.4,2.1,0.1
Amir Johnson,2018-2019,198.9,147.9,61.199999999999996,16.6,0.574,15.299999999999999,15.299999999999999,0.7559999999999999,0.3,0.503,51,13.1,1.1,-0.7,0.2
Andre Drummond,2018-2019,1366.7,1232.3999999999999,110.6,22.5,0.555,134.29999999999998,134.29999999999998,0.59,0.132,0.5329999999999999,79,23.4,10.0,2.9,3.3
Andre Iguodala,2018-2019,387.6,251.60000000000002,217.60000000000002,10.0,0.5870000000000001,54.400000000000006,61.2,0.5820000000000001,0.33299999999999996,0.5,68,13.1,4.2,1.9,1.6
Andre Ingram,2018-2019,0.0,2.0,0.0,18.4,0.0,0.0,1.2,,0.0,0.0,4,-11.9,-0.1,-19.9,-0.1
Andrew Bogut,2018-2019,38.5,55.0,11.0,14.6,0.523,7.699999999999999,3.3,1.0,,0.5,11,13.4,0.3,-1.3,0.0
Andrew Harrison,2018-2019,54.400000000000006,20.4,23.799999999999997,16.9,0.44299999999999995,1.7000000000000002,3.4000000000000004,0.9440000000000001,0.2,0.302,17,5.8,-0.1,-6.6,-0.2
Andrew Wiggins,2018-2019,1321.3000000000002,350.4,182.5,23.9,0.493,51.099999999999994,73.0,0.6990000000000001,0.33899999999999997,0.41200000000000003,73,12.4,0.6,-2.9,-0.6
Anfernee Simons,2018-2019,76.0,14.0,14.0,23.7,0.535,0.0,2.0,0.563,0.345,0.444,20,11.1,0.1,-6.3,-0.2
Angel Delgado,2018-2019,3.0,4.0,0.0,15.0,0.255,0.0,1.0,0.5,,0.2,2,4.3,0.0,-12.7,0.0
Ante Zizic,2018-2019,460.2,318.6,53.1,17.7,0.59,23.6,11.8,0.705,,0.5529999999999999,59,16.2,2.0,-3.1,-0.3
Anthony Davis,2018-2019,1450.3999999999999,672.0,218.4,28.7,0.597,134.4,89.60000000000001,0.794,0.331,0.517,56,30.3,9.5,8.5,4.9
Anthony Tolliver,2018-2019,325.0,175.5,45.5,12.0,0.5710000000000001,19.5,19.5,0.7829999999999999,0.377,0.382,65,8.6,1.2,-2.2,-0.1
Antonio Blakeney,2018-2019,416.09999999999997,108.3,39.9,23.7,0.48700000000000004,11.4,11.4,0.6579999999999999,0.396,0.419,57,10.6,-0.5,-8.4,-1.3
Aron Baynes,2018-2019,285.59999999999997,239.70000000000002,56.1,14.5,0.5670000000000001,35.699999999999996,10.200000000000001,0.855,0.344,0.47100000000000003,51,14.0,2.4,0.2,0.5
Austin Rivers,2018-2019,615.6,159.6,167.20000000000002,14.1,0.503,22.8,45.6,0.526,0.318,0.406,76,7.7,1.2,-3.5,-0.7
Avery Bradley,2018-2019,623.7,176.39999999999998,151.2,15.9,0.496,18.9,44.099999999999994,0.86,0.35100000000000003,0.408,63,7.6,0.3,-2.8,-0.4
Bam Adebayo,2018-2019,729.8000000000001,598.6,180.4,15.6,0.623,65.60000000000001,73.8,0.735,0.2,0.5760000000000001,82,17.9,6.8,3.0,2.4
Ben McLemore,2018-2019,74.1,17.1,3.8000000000000003,18.5,0.541,3.8000000000000003,5.7,0.667,0.415,0.391,19,10.5,0.2,-3.7,-0.1
Ben Simmons,2018-2019,1335.1,695.2,608.3000000000001,21.4,0.5820000000000001,63.2,110.6,0.6,0.0,0.563,79,20.0,8.2,4.1,4.1
Billy Garrett,2018-2019,26.0,3.2,7.2,21.1,0.452,1.2,1.2,1.0,0.0,0.40700000000000003,4,9.8,0.0,-8.4,-0.1
Bismack Biyombo,2018-2019,237.60000000000002,248.39999999999998,32.4,12.6,0.602,43.2,10.8,0.637,,0.5710000000000001,54,14.4,2.0,-1.1,0.2
Blake Griffin,2018-2019,1837.5,562.5,405.0,29.5,0.581,30.0,52.5,0.753,0.36200000000000004,0.462,75,21.0,8.0,4.6,4.4
Boban Marjanovic,2018-2019,423.4,266.79999999999995,52.2,21.9,0.664,29.0,17.4,0.748,0.4,0.615,58,24.2,3.0,1.9,0.7
Bobby Portis,2018-2019,710.0,405.0,70.0,24.0,0.529,20.0,35.0,0.794,0.39299999999999996,0.444,50,16.1,1.6,-2.9,-0.3
Bogdan Bogdanovic,2018-2019,987.0,245.0,266.0,21.9,0.53,14.0,70.0,0.8270000000000001,0.36,0.418,70,14.1,2.7,-0.7,0.6
Bojan Bogdanovic,2018-2019,1458.0,332.09999999999997,162.0,21.7,0.613,0.0,72.9,0.807,0.425,0.49700000000000005,81,16.1,6.8,0.0,1.3
Bonzie Colson,2018-2019,39.2,30.4,3.2,17.3,0.45399999999999996,0.8,4.8,0.889,0.23800000000000002,0.33299999999999996,8,12.9,0.2,-4.3,-0.1
Brad Wanamaker,2018-2019,140.4,39.6,57.6,16.1,0.597,3.6,10.799999999999999,0.857,0.41,0.47600000000000003,36,14.3,1.0,-2.2,0.0
Bradley Beal,2018-2019,2099.2000000000003,410.0,451.0,27.7,0.581,57.4,123.0,0.8079999999999999,0.35100000000000003,0.475,82,20.8,7.6,2.8,3.7
Brandon Goodwin,2018-2019,22.4,3.2,14.4,21.8,0.413,0.0,0.0,0.818,0.33299999999999996,0.261,16,8.3,0.0,-10.9,-0.1
Brandon Ingram,2018-2019,951.6,265.2,156.0,22.6,0.555,31.2,26.0,0.675,0.33,0.49700000000000005,52,13.4,2.0,-2.8,-0.3
Brandon Knight,2018-2019,265.2,58.5,70.2,17.5,0.484,3.9000000000000004,19.5,0.794,0.318,0.381,39,8.9,0.0,-5.0,-0.6
Brandon Sampson,2018-2019,71.39999999999999,15.400000000000002,9.799999999999999,15.4,0.5670000000000001,2.8000000000000003,8.4,0.667,0.379,0.467,14,8.5,0.0,-4.2,-0.1
Brook Lopez,2018-2019,1012.5,396.90000000000003,97.2,16.4,0.597,178.20000000000002,48.6,0.8420000000000001,0.365,0.452,81,14.6,6.7,2.7,2.8
Bruce Brown,2018-2019,318.2,185.0,88.8,11.2,0.469,37.0,37.0,0.75,0.258,0.39799999999999996,74,6.9,1.5,-2.0,0.0
Bruno Caboclo,2018-2019,282.20000000000005,156.39999999999998,51.0,14.9,0.5710000000000001,34.0,13.600000000000001,0.84,0.369,0.42700000000000005,34,12.4,1.5,0.2,0.4
Bryn Forbes,2018-2019,967.6,237.79999999999998,172.20000000000002,16.9,0.586,0.0,41.0,0.885,0.426,0.456,82,12.0,3.8,-0.7,0.7
Buddy Hield,2018-2019,1697.3999999999999,410.0,205.0,24.2,0.5870000000000001,32.800000000000004,57.4,0.8859999999999999,0.42700000000000005,0.45799999999999996,82,17.5,5.9,1.1,2.1
C.J. Williams,2018-2019,39.0,7.5,12.0,13.6,0.55,0.0,6.0,0.0,0.313,0.486,15,8.8,0.1,-4.0,-0.1
CJ McCollum,2018-2019,1470.0,280.0,210.0,24.6,0.5529999999999999,28.0,56.0,0.828,0.375,0.45899999999999996,70,17.0,5.6,0.3,1.3
Caleb Swanigan,2018-2019,42.0,63.0,10.5,16.9,0.377,0.0,6.3,0.667,0.14300000000000002,0.34,21,4.7,-0.2,-7.8,-0.3
Cameron Payne,2018-2019,252.0,72.0,108.0,16.8,0.519,8.0,28.0,0.805,0.298,0.43,40,11.5,0.5,-3.5,-0.3
Cameron Reynolds,2018-2019,95.0,30.400000000000002,13.299999999999999,13.9,0.58,1.9000000000000001,5.7,0.889,0.41200000000000003,0.423,19,10.4,0.4,-2.3,0.0
Caris LeVert,2018-2019,548.0,152.0,156.0,23.4,0.509,16.0,44.0,0.691,0.312,0.429,40,14.9,1.7,-0.2,0.5
Carmelo Anthony,2018-2019,134.0,54.0,5.0,19.9,0.513,7.0,4.0,0.682,0.32799999999999996,0.405,10,10.9,0.3,-5.9,-0.3
Cedi Osman,2018-2019,988.0,357.2,197.6,18.1,0.536,7.6000000000000005,60.800000000000004,0.779,0.348,0.42700000000000005,76,11.5,1.5,-2.1,-0.1
Chandler Hutchison,2018-2019,228.8,184.8,35.2,11.9,0.507,4.4,22.0,0.605,0.28,0.45899999999999996,44,8.8,0.6,-4.3,-0.5
Chandler Parsons,2018-2019,187.5,70.0,42.5,19.1,0.484,5.0,20.0,0.88,0.309,0.374,25,8.5,0.0,-4.3,-0.3
Channing Frye,2018-2019,129.6,50.4,21.599999999999998,17.2,0.524,3.6,7.2,0.7859999999999999,0.405,0.368,36,8.9,0.1,-4.8,-0.2
Chasson Randle,2018-2019,269.5,53.900000000000006,98.0,15.7,0.555,4.9,24.5,0.6940000000000001,0.4,0.419,49,9.9,0.6,-4.4,-0.4
Cheick Diallo,2018-2019,384.0,332.8,32.0,15.4,0.644,32.0,32.0,0.746,0.25,0.62,64,17.5,2.6,-1.6,0.1
Chimezie Metu,2018-2019,52.2,34.8,11.600000000000001,22.1,0.389,2.9000000000000004,5.800000000000001,0.765,0.0,0.32799999999999996,29,6.4,-0.3,-9.2,-0.3
Chris Boucher,2018-2019,92.39999999999999,56.0,2.8000000000000003,21.1,0.563,25.2,5.6000000000000005,0.867,0.324,0.447,28,22.2,0.7,1.1,0.1
Chris Chiozza,2018-2019,6.3,4.2,4.2,10.8,0.375,0.7000000000000001,0.7000000000000001,,0.4,0.25,7,7.0,0.0,-4.7,0.0
Chris Paul,2018-2019,904.8,266.79999999999995,475.59999999999997,21.8,0.56,17.4,116.0,0.862,0.358,0.419,58,19.7,6.6,3.0,2.4
Christian Wood,2018-2019,172.2,84.0,8.4,24.6,0.607,10.5,6.3,0.732,0.34600000000000003,0.521,21,21.9,0.8,-3.3,-0.1
Clint Capela,2018-2019,1112.2,850.9,93.8,17.9,0.6579999999999999,100.5,46.9,0.636,,0.648,67,23.8,10.8,2.9,2.8
Cody Zeller,2018-2019,494.9,333.2,102.9,15.7,0.611,39.2,39.2,0.787,0.273,0.551,49,17.2,3.9,2.0,1.2
Collin Sexton,2018-2019,1369.3999999999999,237.79999999999998,246.0,24.6,0.52,8.200000000000001,41.0,0.8390000000000001,0.402,0.43,82,12.0,-0.6,-5.2,-2.1
Corey Brewer,2018-2019,151.9,77.5,40.300000000000004,12.8,0.532,6.2,31.0,0.721,0.318,0.431,31,11.6,1.0,-0.1,0.2
Cory Joseph,2018-2019,533.0,278.8,319.8,13.2,0.474,24.599999999999998,90.2,0.698,0.322,0.41200000000000003,82,11.0,3.5,-0.5,0.8
Courtney Lee,2018-2019,136.0,54.400000000000006,37.400000000000006,14.9,0.49200000000000005,3.4000000000000004,20.4,0.667,0.29100000000000004,0.41100000000000003,34,10.3,0.4,-2.8,-0.1
Cristiano Felicio,2018-2019,240.0,216.0,36.0,13.6,0.568,6.0,12.0,0.685,0.0,0.531,60,13.4,1.4,-3.5,-0.3
D'Angelo Russell,2018-2019,1709.1000000000001,315.9,567.0,30.9,0.5329999999999999,16.2,97.2,0.78,0.369,0.434,81,19.4,5.0,3.4,3.3
D.J. Augustin,2018-2019,947.6999999999999,202.5,429.3,16.8,0.616,0.0,48.6,0.866,0.42100000000000004,0.47,81,15.7,6.9,-0.3,1.0
D.J. Wilson,2018-2019,278.4,220.79999999999998,52.800000000000004,13.9,0.515,19.200000000000003,19.200000000000003,0.5529999999999999,0.36200000000000004,0.414,48,10.3,1.7,-1.6,0.1
Dairis Bertans,2018-2019,33.599999999999994,9.600000000000001,9.600000000000001,12.0,0.36200000000000004,0.0,1.2000000000000002,,0.294,0.255,12,2.0,-0.2,-7.7,-0.2
Damian Jones,2018-2019,129.60000000000002,74.4,28.799999999999997,11.2,0.72,24.0,12.0,0.649,,0.716,24,15.3,1.5,3.0,0.5
Damian Lillard,2018-2019,2064.0,368.0,552.0,28.0,0.588,32.0,88.0,0.912,0.369,0.444,80,23.7,12.1,5.5,5.4
Damion Lee,2018-2019,156.8,64.0,12.8,16.2,0.578,0.0,12.8,0.8640000000000001,0.397,0.441,32,11.9,0.7,-3.6,-0.2
Damyean Dotson,2018-2019,781.0999999999999,262.8,131.4,16.9,0.526,7.300000000000001,58.400000000000006,0.745,0.368,0.415,73,10.8,1.5,-2.3,-0.2
Daniel Hamilton,2018-2019,57.0,47.5,22.8,15.1,0.455,1.9000000000000001,5.7,0.5,0.348,0.38299999999999995,19,7.1,-0.1,-5.8,-0.2
Daniel Theis,2018-2019,376.2,224.4,66.0,14.9,0.624,39.6,19.8,0.737,0.38799999999999996,0.5489999999999999,66,17.0,3.5,2.3,1.0
Danilo Gallinari,2018-2019,1346.4,414.79999999999995,176.8,23.6,0.633,20.4,47.599999999999994,0.904,0.433,0.46299999999999997,68,21.0,8.2,2.9,2.6
Danny Green,2018-2019,824.0,320.0,128.0,13.8,0.632,56.0,72.0,0.841,0.455,0.465,80,13.0,5.9,2.9,2.7
Dante Cunningham,2018-2019,192.0,185.6,51.2,8.5,0.585,12.8,25.6,0.778,0.462,0.475,64,10.2,1.9,-0.1,0.4
Dante Exum,2018-2019,289.8,67.2,109.2,20.5,0.516,4.2,12.6,0.7909999999999999,0.29,0.419,42,11.2,1.0,-4.0,-0.3
Dario Saric,2018-2019,858.6,453.59999999999997,129.6,17.2,0.563,8.1,48.6,0.88,0.365,0.43700000000000006,81,13.1,3.5,-1.1,0.5
Darius Miller,2018-2019,565.8,131.1,144.9,13.0,0.55,20.7,41.4,0.789,0.365,0.39,69,8.4,1.6,-1.7,0.1
Darren Collison,2018-2019,851.1999999999999,235.6,456.0,17.5,0.574,7.6000000000000005,106.39999999999999,0.8320000000000001,0.40700000000000003,0.467,76,16.7,6.8,1.2,1.8
Daryl Macon,2018-2019,28.8,12.0,7.2,16.5,0.48200000000000004,0.0,0.8,0.5710000000000001,0.455,0.37,8,5.5,0.0,-7.2,-0.1
David Nwaba,2018-2019,331.5,163.20000000000002,56.1,14.0,0.5579999999999999,15.299999999999999,35.699999999999996,0.682,0.32,0.48100000000000004,51,12.5,1.4,-1.7,0.1
Davis Bertans,2018-2019,608.0,266.0,98.8,13.4,0.632,30.400000000000002,38.0,0.883,0.429,0.45,76,13.0,4.0,1.2,1.3
Davon Reed,2018-2019,12.0,6.0,3.0,10.4,0.5,0.0,1.0,,0.5,0.41700000000000004,10,8.1,0.1,-4.2,0.0
De'Aaron Fox,2018-2019,1401.3,307.8,591.3,23.7,0.544,48.6,129.6,0.727,0.371,0.45799999999999996,81,18.1,5.6,1.1,2.0
De'Anthony Melton,2018-2019,250.0,135.0,160.0,14.5,0.466,25.0,70.0,0.75,0.305,0.391,50,9.9,0.0,-2.6,-0.1
DeAndre Jordan,2018-2019,759.0,903.9,158.7,14.8,0.674,75.9,41.4,0.705,,0.6409999999999999,69,19.0,7.1,2.4,2.3
DeAndre' Bembry,2018-2019,688.8000000000001,360.8,205.0,16.7,0.508,41.0,106.60000000000001,0.64,0.289,0.446,82,10.8,0.9,-2.2,-0.1
DeMar DeRozan,2018-2019,1632.3999999999999,462.0,477.40000000000003,27.6,0.542,38.5,84.7,0.83,0.156,0.48100000000000004,77,19.6,6.3,0.9,2.0
