NAME,SEASON,G,FG%,3P%,FT%,REB,AST,STL,BLK,PTS,PER,TS%,USG%,WS,BPM,VORP
Maxi Kleber,2019-2020,74,0.461,0.373,0.8490000000000001,384.8,88.8,22.2,81.4,673.4,13.6,0.605,13.9,4.8,0.4,1.1
Monte Morris,2019-2020,73,0.45899999999999996,0.37799999999999995,0.843,138.7,255.5,58.400000000000006,14.600000000000001,657.0,14.9,0.545,17.5,3.8,-0.2,0.8
Delon Wright,2019-2020,73,0.462,0.37,0.77,277.4,240.89999999999998,87.6,21.9,503.70000000000005,15.4,0.5539999999999999,14.4,4.4,1.9,1.5
Nikola Jokić,2019-2020,73,0.528,0.314,0.8170000000000001,708.0999999999999,511.0,87.6,43.8,1452.6999999999998,24.9,0.605,26.6,9.8,7.4,5.5
Duncan Robinson,2019-2020,73,0.47,0.446,0.9309999999999999,233.60000000000002,102.19999999999999,36.5,21.9,985.5,13.1,0.684,16.0,5.3,0.5,1.3
Mikal Bridges,2019-2020,73,0.51,0.361,0.8440000000000001,292.0,131.4,102.19999999999999,43.8,664.3,12.9,0.62,12.7,4.8,0.8,1.5
Justin Holiday,2019-2020,73,0.428,0.405,0.7909999999999999,240.89999999999998,94.9,87.6,43.8,605.9000000000001,12.1,0.585,13.4,4.2,1.3,1.5
Dillon Brooks,2019-2020,73,0.40700000000000003,0.358,0.8079999999999999,240.89999999999998,153.3,65.7,29.200000000000003,1182.6,11.3,0.51,25.2,1.2,-4.1,-1.1
Ivica Zubac,2019-2020,72,0.613,0.0,0.747,540.0,79.2,14.4,64.8,597.6,21.7,0.6509999999999999,16.4,6.6,2.8,1.6
Buddy Hield,2019-2020,72,0.429,0.39399999999999996,0.846,331.2,216.0,64.8,14.4,1382.3999999999999,16.0,0.5660000000000001,27.2,3.0,1.1,1.7
Nemanja Bjelica,2019-2020,72,0.48100000000000004,0.419,0.821,460.8,201.6,64.8,43.199999999999996,828.0,15.7,0.602,17.0,5.3,1.7,1.9
Furkan Korkmaz,2019-2020,72,0.43,0.402,0.755,165.6,79.2,43.199999999999996,14.4,705.6,12.0,0.579,18.4,2.8,-1.3,0.3
Cory Joseph,2019-2020,72,0.415,0.35200000000000004,0.857,187.20000000000002,252.0,50.4,21.599999999999998,460.8,10.1,0.517,12.9,2.3,-2.0,0.0
Bam Adebayo,2019-2020,72,0.557,0.14300000000000002,0.691,734.4,367.2,79.2,93.60000000000001,1144.8,20.3,0.598,21.2,8.5,3.4,3.3
Joe Ingles,2019-2020,72,0.445,0.39899999999999997,0.787,280.8,374.40000000000003,64.8,14.4,705.6,12.6,0.595,15.1,4.8,0.7,1.5
Harrison Barnes,2019-2020,72,0.46,0.381,0.8009999999999999,352.8,158.4,43.199999999999996,14.4,1044.0,13.3,0.574,17.4,4.6,-1.3,0.5
